,function_name,LEANMLIR_opt_tot_instructions
136,3_function_25,2
137,7_function_16,8
138,6_function_2,6
139,6_function_52,9
140,8_function_56,11
141,4_function_21,4
142,7_function_9,10
143,7_function_59,12
144,8_function_40,10
145,7_function_83,14
146,6_function_28,6
147,6_function_99,7
148,8_function_1,11
149,7_function_4,11
150,7_function_66,10
151,4_function_70,8
152,8_function_58,14
153,4_function_91,7
154,3_function_1,4
155,5_function_49,5
156,7_function_60,15
157,6_function_89,5
158,8_function_41,16
159,4_function_59,3
160,5_function_86,9
161,7_function_3,5
162,6_function_62,8
163,8_function_99,12
164,5_function_77,7
165,4_function_22,9
166,8_function_38,10
167,4_function_62,7
168,6_function_69,7
169,7_function_14,4
170,4_function_96,4
171,7_function_96,4
172,4_function_51,5
173,6_function_21,6
174,5_function_58,7
175,8_function_84,11
176,7_function_82,5
177,6_function_40,6
178,7_function_89,11
179,3_function_49,3
180,6_function_59,7
181,8_function_86,15
182,6_function_61,10
183,5_function_44,3
184,3_function_65,4
185,7_function_92,7
186,8_function_81,6
187,8_function_64,3
188,8_function_71,10
189,8_function_13,8
190,8_function_68,9
191,4_function_11,4
192,7_function_99,5
193,6_function_1,8
194,7_function_94,6
195,4_function_23,8
196,8_function_22,17
197,4_function_56,3
198,7_function_2,7
199,6_function_23,7
200,7_function_17,7
201,7_function_25,9
202,5_function_78,7
203,3_function_90,8
204,4_function_67,4
205,5_function_40,7
206,6_function_76,10
207,3_function_0,1
208,5_function_80,4
209,6_function_85,12
210,6_function_49,5
211,5_function_71,3
212,7_function_71,9
213,7_function_32,7
214,4_function_82,9
215,6_function_39,7
216,3_function_59,5
217,3_function_89,6
218,5_function_24,5
219,3_function_62,3
220,8_function_93,9
221,3_function_23,7
222,7_function_67,9
223,6_function_98,9
224,5_function_20,8
225,7_function_81,9
226,3_function_33,8
227,7_function_21,8
228,4_function_29,4
229,7_function_73,15
230,5_function_2,4
231,6_function_92,5
232,8_function_76,9
233,7_function_37,8
234,6_function_16,7
235,4_function_86,7
236,8_function_9,8
237,8_function_28,7
238,3_function_70,3
239,8_function_52,7
240,8_function_60,13
241,8_function_70,11
242,5_function_72,6
243,7_function_18,6
244,8_function_87,9
245,3_function_86,1
246,8_function_42,9
247,3_function_68,4
248,6_function_60,11
249,6_function_31,10
250,6_function_84,7
251,5_function_53,7
252,3_function_36,4
253,6_function_79,7
254,6_function_42,7
255,6_function_9,5
256,8_function_26,10
257,7_function_56,9
258,5_function_46,5
259,3_function_14,3
260,7_function_35,7
261,4_function_52,8
262,3_function_40,5
263,6_function_55,11
264,6_function_37,12
265,6_function_30,10
266,4_function_71,3
267,5_function_52,8
268,5_function_63,7
269,8_function_72,9
270,5_function_99,5
271,7_function_58,12
272,7_function_39,8
273,6_function_68,7
274,8_function_80,12
275,3_function_66,4
276,5_function_18,6
277,8_function_16,9
278,3_function_98,4
279,4_function_99,5
280,3_function_8,5
281,5_function_33,3
282,6_function_87,12
283,8_function_79,9
284,4_function_42,8
285,5_function_4,8
286,5_function_17,6
287,4_function_5,8
288,6_function_64,4
289,6_function_72,4
290,8_function_25,10
291,7_function_91,10
292,5_function_39,3
293,8_function_8,9
294,4_function_78,5
295,3_function_74,3
296,3_function_17,3
297,4_function_44,9
298,3_function_16,3
299,8_function_32,12
300,5_function_66,5
301,8_function_74,7
302,4_function_6,9
303,5_function_84,6
304,8_function_95,8
305,4_function_83,5
306,7_function_15,7
307,6_function_96,10
308,4_function_19,4
309,6_function_17,10
310,3_function_80,1
311,6_function_81,8
312,4_function_14,6
313,6_function_54,7
314,5_function_25,7
315,3_function_50,6
316,8_function_36,10
