,function_name,instructions_number,is_eqv_LLVM_globalisel,is_eqv_LLVM_selectiondag
367,7_function_38,7,False,False
368,7_function_7,7,False,False
369,7_function_59,7,False,False
370,7_function_49,7,False,False
371,5_function_86,5,False,False
372,6_function_23,6,False,False
373,4_function_76,4,False,False
374,7_function_54,7,False,False
375,6_function_4,6,False,False
376,4_function_94,4,True,False
377,8_function_3,8,False,False
378,3_function_20,3,False,False
379,4_function_16,4,True,False
380,8_function_9,8,False,False
381,5_function_92,5,False,False
382,7_function_66,7,False,False
383,7_function_25,7,False,False
384,7_function_89,7,False,False
385,4_function_0,4,False,False
386,5_function_63,5,False,False
387,8_function_69,8,False,False
388,8_function_80,8,False,False
389,6_function_27,6,False,False
390,8_function_50,8,False,False
391,6_function_41,6,False,False
392,7_function_6,7,False,False
393,4_function_7,4,False,False
394,6_function_75,6,False,False
395,4_function_4,4,False,False
396,5_function_51,5,False,False
397,7_function_53,7,False,False
398,8_function_26,8,False,False
399,7_function_30,7,False,False
400,8_function_20,8,False,False
401,3_function_17,3,True,True
402,3_function_59,3,False,False
403,4_function_85,4,False,False
404,5_function_93,5,True,False
405,5_function_71,5,False,False
406,6_function_32,6,False,False
407,3_function_70,3,True,True
408,6_function_50,6,False,False
409,4_function_37,4,True,False
410,5_function_39,5,False,True
411,7_function_9,7,False,False
412,3_function_97,3,False,False
413,4_function_2,4,True,True
414,6_function_47,6,False,False
415,5_function_72,5,True,False
416,4_function_55,4,False,False
417,8_function_49,8,False,False
418,6_function_76,6,False,False
419,3_function_93,3,True,True
420,4_function_33,4,False,False
421,4_function_50,4,False,False
422,6_function_91,6,False,False
423,4_function_23,4,False,False
424,8_function_5,8,False,False
425,6_function_98,6,False,False
426,6_function_92,6,False,False
427,6_function_80,6,False,False
428,8_function_10,8,False,False
429,8_function_2,8,True,True
430,3_function_58,3,True,True
431,8_function_4,8,False,False
432,3_function_77,3,True,True
433,8_function_36,8,False,False
434,7_function_57,7,False,False
435,7_function_43,7,False,False
436,3_function_73,3,True,True
437,4_function_98,4,True,True
438,4_function_95,4,True,False
439,3_function_19,3,True,False
440,5_function_95,5,False,False
441,5_function_21,5,False,False
442,7_function_71,7,False,False
443,3_function_21,3,True,True
444,5_function_34,5,False,False
445,4_function_10,4,False,False
446,7_function_61,7,False,False
447,7_function_37,7,False,False
448,7_function_85,7,False,False
449,6_function_37,6,False,False
450,6_function_43,6,False,False
451,8_function_93,8,False,False
452,7_function_99,7,False,False
453,3_function_67,3,False,False
454,7_function_42,7,False,False
455,4_function_17,4,True,True
456,8_function_70,8,False,False
457,8_function_22,8,False,False
458,3_function_87,3,False,False
459,4_function_61,4,False,False
460,7_function_91,7,False,False
461,5_function_89,5,True,True
462,3_function_23,3,False,False
463,3_function_8,3,False,False
464,4_function_57,4,False,False
465,8_function_86,8,False,False
466,6_function_17,6,False,False
467,3_function_35,3,True,False
468,5_function_57,5,False,False
469,7_function_21,7,False,False
470,8_function_79,8,True,False
471,4_function_1,4,True,True
472,3_function_78,3,True,True
473,7_function_92,7,False,False
474,8_function_38,8,False,False
475,7_function_60,7,False,False
476,8_function_32,8,False,False
477,5_function_76,5,False,False
478,3_function_55,3,False,False
479,6_function_66,6,False,False
480,5_function_42,5,False,False
481,6_function_7,6,False,False
482,5_function_98,5,False,False
483,4_function_45,4,False,False
484,7_function_56,7,False,False
485,8_function_27,8,False,False
486,5_function_47,5,False,False
487,3_function_18,3,False,False
488,6_function_20,6,False,False
489,4_function_83,4,True,True
490,7_function_95,7,False,False
491,5_function_84,5,True,True
492,3_function_29,3,False,False
493,6_function_40,6,False,False
494,4_function_87,4,True,True
495,5_function_5,5,False,False
496,5_function_10,5,True,False
497,6_function_45,6,False,False
498,8_function_82,8,False,False
499,8_function_37,8,False,False
500,8_function_8,8,True,True
501,7_function_50,7,False,False
502,5_function_6,5,False,False
503,8_function_60,8,False,False
504,7_function_65,7,False,False
505,5_function_80,5,True,True
506,6_function_64,6,False,False
507,8_function_76,8,False,False
508,8_function_41,8,False,False
509,5_function_38,5,False,False
510,7_function_35,7,False,False
511,7_function_24,7,False,False
512,4_function_27,4,True,True
513,3_function_11,3,False,False
514,4_function_86,4,False,False
515,7_function_16,7,False,False
516,6_function_90,6,False,False
517,7_function_78,7,False,False
518,5_function_36,5,True,False
519,8_function_46,8,False,False
520,7_function_13,7,False,False
521,7_function_98,7,False,False
522,6_function_48,6,False,False
523,6_function_53,6,False,False
524,6_function_13,6,False,False
525,5_function_60,5,False,False
526,3_function_72,3,False,False
527,8_function_84,8,False,False
528,4_function_41,4,True,False
529,3_function_63,3,True,True
530,6_function_88,6,False,False
531,8_function_91,8,False,False
532,4_function_82,4,False,False
533,3_function_88,3,False,False
534,3_function_16,3,False,False
535,6_function_94,6,False,False
536,3_function_40,3,False,False
537,4_function_64,4,False,False
538,7_function_80,7,False,False
539,6_function_99,6,False,False
540,5_function_29,5,False,False
541,5_function_22,5,False,False
542,6_function_2,6,False,False
543,3_function_86,3,False,True
544,8_function_90,8,False,False
545,8_function_72,8,False,False
546,6_function_96,6,False,False
547,3_function_2,3,False,False
548,3_function_90,3,False,False
549,3_function_38,3,False,False
550,4_function_71,4,False,False
551,4_function_29,4,False,False
552,3_function_5,3,True,True
553,7_function_51,7,False,False
554,5_function_13,5,False,False
555,6_function_54,6,False,False
556,7_function_40,7,False,False
557,7_function_17,7,False,False
558,6_function_74,6,False,False
559,5_function_46,5,True,False
560,7_function_41,7,False,False
561,4_function_58,4,True,True
562,8_function_48,8,False,False
563,7_function_8,7,False,False
564,3_function_47,3,True,False
565,7_function_47,7,False,False
566,8_function_12,8,False,False
567,5_function_8,5,False,False
568,8_function_66,8,False,False
569,6_function_79,6,False,False
570,5_function_52,5,False,False
571,5_function_48,5,False,False
572,7_function_70,7,False,False
573,8_function_78,8,False,False
574,5_function_43,5,False,True
575,4_function_73,4,False,False
576,7_function_23,7,True,False
577,6_function_87,6,True,False
578,6_function_63,6,False,False
579,7_function_44,7,False,False
580,7_function_58,7,False,False
581,4_function_80,4,False,False
582,3_function_45,3,True,True
583,3_function_53,3,True,False
584,7_function_55,7,False,False
585,3_function_75,3,True,True
586,5_function_79,5,False,False
587,8_function_52,8,False,False
588,7_function_15,7,False,False
589,3_function_57,3,False,False
590,8_function_23,8,False,False
591,5_function_11,5,False,False
592,5_function_17,5,False,False
593,6_function_62,6,False,False
594,7_function_39,7,False,False
595,4_function_75,4,False,False
596,6_function_85,6,False,False
597,8_function_77,8,False,False
598,7_function_84,7,False,False
599,4_function_62,4,False,False
