,function_name,LLVM_globalisel_similarity
38,5_function_3,"[['xor', 'a0,', 'a0,', 'a2'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
39,7_function_88,"[['bltu', 'a0,', 'a0,', '.LBB0_2'], ['slli', 'a0,', 'a1,', '63'], ['srai', 'a0,', 'a0,', '63'], ['ret'], ['rem', 'a0,', 'a0,', 'a0'], ['li', 'a0,', '0'], ['ret']]"
40,3_function_28,"[['divu', 'a0,', 'a0,', 'a0'], ['ret']]"
41,6_function_51,"[['slli', 'a2,', 'a2,', '63'], ['srai', 'a2,', 'a2,', '63'], ['blt', 'a1,', 'a0,', '.LBB0_2'], ['mv', 'a0,', 'a2'], ['divu', 'a0,', 'a0,', 'a1'], ['srl', 'a1,', 'a2,', 'a1'], ['xor', 'a0,', 'a0,', 'a1'], ['snez', 'a0,', 'a0'], ['ret']]"
42,3_function_82,"[['bext', 'a0,', 'a0,', 'a0'], ['ret']]"
43,3_function_51,"[['divu', 'a0,', 'a0,', 'a0'], ['li', 'a0,', '0'], ['ret']]"
44,6_function_19,"[['sra', 'a3,', 'a0,', 'a2'], ['div', 'a2,', 'a3,', 'a2'], ['sext.w', 'a0,', 'a0'], ['srl', 'a1,', 'a1,', 'a2'], ['sltu', 'a0,', 'a1,', 'a0'], ['ret']]"
45,5_function_54,"[['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['zext.w', 'a1,', 'a0'], ['xor', 'a0,', 'a0,', 'a1'], ['ret']]"
46,5_function_61,"[['bge', 'a1,', 'a0,', '.LBB0_2'], ['mv', 'a2,', 'a0'], ['sra', 'a0,', 'a2,', 'a0'], ['ret']]"
47,6_function_69,"[['divu', 'a1,', 'a1,', 'a1'], ['remu', 'a1,', 'a0,', 'a1'], ['slt', 'a1,', 'a1,', 'a2'], ['xori', 'a1,', 'a1,', '1'], ['or', 'a0,', 'a0,', 'a1'], ['ret']]"
48,5_function_68,"[['andi', 'a0,', 'a0,', '1'], ['divu', 'a0,', 'a0,', 'a1'], ['srl', 'a1,', 'a2,', 'a0'], ['or', 'a0,', 'a0,', 'a1'], ['ret']]"
49,4_function_26,"[['andi', 'a3,', 'a1,', '1'], ['mv', 'a1,', 'a0'], ['bnez', 'a3,', '.LBB0_2'], ['mv', 'a1,', 'a2'], ['div', 'a2,', 'a0,', 'a1'], ['srl', 'a1,', 'a2,', 'a1'], ['slt', 'a0,', 'a1,', 'a0'], ['ret']]"
50,6_function_42,"[['remu', 'a2,', 'a0,', 'a0'], ['xor', 'a0,', 'a0,', 'a1'], ['xor', 'a0,', 'a0,', 'a2'], ['sra', 'a0,', 'a0,', 'a1'], ['divu', 'a0,', 'a2,', 'a0'], ['ret']]"
51,6_function_78,"[['sext.w', 'a0,', 'a0'], ['divu', 'a1,', 'a1,', 'a1'], ['div', 'a0,', 'a0,', 'a0'], ['xor', 'a1,', 'a1,', 'a2'], ['sltu', 'a0,', 'a0,', 'a1'], ['ret']]"
52,3_function_99,"[['srl', 'a0,', 'a0,', 'a0'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
53,5_function_25,"[['remu', 'a2,', 'a0,', 'a0'], ['xor', 'a0,', 'a0,', 'a1'], ['sltu', 'a0,', 'a2,', 'a0'], ['xori', 'a0,', 'a0,', '1'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['ret']]"
54,5_function_69,"[['andi', 'a3,', 'a0,', '1'], ['bnez', 'a3,', '.LBB0_2'], ['mv', 'a1,', 'a0'], ['xor', 'a0,', 'a0,', 'a1'], ['xor', 'a2,', 'a2,', 'a0'], ['srl', 'a0,', 'a0,', 'a2'], ['ret']]"
55,6_function_18,"[['sra', 'a4,', 'a0,', 'a1'], ['rem', 'a4,', 'a4,', 'a2'], ['andi', 'a3,', 'a3,', '1'], ['bnez', 'a3,', '.LBB0_2'], ['srl', 'a1,', 'a0,', 'a1'], ['rem', 'a0,', 'a4,', 'a1'], ['ret'], ['or', 'a1,', 'a1,', 'a2'], ['rem', 'a0,', 'a4,', 'a1'], ['ret']]"
56,7_function_22,"[['srl', 'a3,', 'a0,', 'a0'], ['and', 'a2,', 'a2,', 'a3'], ['sltu', 'a1,', 'a2,', 'a1'], ['xori', 'a1,', 'a1,', '1'], ['xor', 'a1,', 'a3,', 'a1'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
57,7_function_97,"[['or', 'a1,', 'a0,', 'a1'], ['slli', 'a2,', 'a2,', '63'], ['srai', 'a3,', 'a2,', '63'], ['and', 'a2,', 'a1,', 'a3'], ['beq', 'a3,', 'a2,', '.LBB0_2'], ['xor', 'a2,', 'a0,', 'a3'], ['sra', 'a0,', 'a1,', 'a2'], ['ret']]"
58,4_function_13,"[['divu', 'a2,', 'a1,', 'a2'], ['rem', 'a1,', 'a2,', 'a1'], ['xor', 'a1,', 'a2,', 'a1'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
59,4_function_36,"[['div', 'a1,', 'a0,', 'a1'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
60,4_function_25,"[['or', 'a0,', 'a0,', 'a1'], ['or', 'a2,', 'a2,', 'a0'], ['sra', 'a0,', 'a0,', 'a2'], ['ret']]"
61,8_function_89,"[['divu', 'a2,', 'a2,', 'a1'], ['sra', 'a3,', 'a0,', 'a1'], ['or', 'a0,', 'a0,', 'a2'], ['srl', 'a0,', 'a3,', 'a0'], ['sra', 'a1,', 'a0,', 'a1'], ['or', 'a0,', 'a0,', 'a1'], ['zext.w', 'a0,', 'a0'], ['ret']]"
