,function_name,LLVM_selectiondag_similarity
46,5_function_26,"[['andi', 'a1,', 'a1,', '1'], ['bnez', 'a1,', '.LBB0_2'], ['mv', 'a2,', 'a0'], ['and', 'a2,', 'a0,', 'a2'], ['remu', 'a1,', 'a0,', 'a2'], ['and', 'a0,', 'a1,', 'a0'], ['ret']]"
47,7_function_10,[['ret']]
48,7_function_65,"[['ori', 'a0,', 'a1,', '1'], ['ret']]"
49,8_function_46,"[['remu', 'a2,', 'a1,', 'a2'], ['sext.w', 'a3,', 'a3'], ['sra', 'a4,', 'a0,', 'a2'], ['sra', 'a1,', 'a1,', 'a2'], ['xor', 'a1,', 'a3,', 'a1'], ['xor', 'a1,', 'a4,', 'a1'], ['and', 'a0,', 'a0,', 'a1'], ['slt', 'a0,', 'a0,', 'a4'], ['ret']]"
50,6_function_46,"[['rem', 'a2,', 'a1,', 'a0'], ['xor', 'a1,', 'a2,', 'a1'], ['remu', 'a2,', 'a1,', 'a2'], ['sra', 'a0,', 'a0,', 'a1'], ['xor', 'a0,', 'a0,', 'a2'], ['ret']]"
51,3_function_67,"[['andi', 'a1,', 'a1,', '1'], ['bnez', 'a1,', '.LBB0_2'], ['mv', 'a2,', 'a0'], ['remu', 'a1,', 'a0,', 'a2'], ['xor', 'a0,', 'a0,', 'a1'], ['ret']]"
52,8_function_4,"[['andi', 'a0,', 'a0,', '1'], ['sext.w', 'a3,', 'a3'], ['mv', 'a4,', 'a1'], ['mv', 'a5,', 'a1'], ['bnez', 'a0,', '.LBB0_2'], ['mv', 'a4,', 'a2'], ['mv', 'a5,', 'a3'], ['srl', 'a2,', 'a3,', 'a5'], ['srl', 'a2,', 'a4,', 'a2'], ['bnez', 'a0,', '.LBB0_4'], ['mv', 'a1,', 'a2'], ['remu', 'a0,', 'a2,', 'a1'], ['slt', 'a0,', 'a0,', 'a2'], ['ret']]"
53,4_function_69,"[['divu', 'a1,', 'a0,', 'a1'], ['andi', 'a1,', 'a1,', '1'], ['remu', 'a0,', 'a1,', 'a0'], ['ret']]"
54,8_function_90,"[['li', 'a0,', '0'], ['ret']]"
55,5_function_98,"[['sra', 'a0,', 'a0,', 'a0'], ['slli', 'a2,', 'a2,', '63'], ['srai', 'a2,', 'a2,', '63'], ['sltu', 'a0,', 'a2,', 'a0'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
56,3_function_61,"[['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['sltu', 'a0,', 'a1,', 'a0'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
57,5_function_50,"[['andi', 'a0,', 'a1,', '1'], ['ret']]"
58,6_function_41,"[['zext.w', 'a2,', 'a0'], ['andi', 'a3,', 'a0,', '1'], ['mv', 'a0,', 'a2'], ['bnez', 'a3,', '.LBB0_2'], ['mv', 'a0,', 'a1'], ['divu', 'a0,', 'a2,', 'a0'], ['ret']]"
59,5_function_57,"[['li', 'a0,', '0'], ['ret']]"
60,5_function_69,"[['andi', 'a3,', 'a0,', '1'], ['bnez', 'a3,', '.LBB0_2'], ['mv', 'a1,', 'a0'], ['xor', 'a0,', 'a0,', 'a1'], ['xor', 'a2,', 'a2,', 'a0'], ['srl', 'a0,', 'a0,', 'a2'], ['ret']]"
61,6_function_77,"[['sra', 'a1,', 'a1,', 'a2'], ['sext.w', 'a3,', 'a3'], ['srl', 'a1,', 'a0,', 'a1'], ['xor', 'a0,', 'a3,', 'a0'], ['or', 'a0,', 'a1,', 'a0'], ['ret']]"
62,4_function_98,"[['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
63,6_function_24,"[['mv', 'a0,', 'a1'], ['xor', 'a2,', 'a1,', 'a2'], ['bext', 'a1,', 'a2,', 'a1'], ['bnez', 'a1,', '.LBB0_2'], ['srl', 'a0,', 'a2,', 'a0'], ['ret']]"
64,6_function_22,"[['srli', 'a0,', 'a0,', '1'], ['li', 'a1,', '1'], ['srl', 'a0,', 'a1,', 'a0'], ['ret']]"
65,8_function_57,"[['li', 'a0,', '0'], ['ret']]"
66,4_function_43,"[['li', 'a0,', '1'], ['ret']]"
67,4_function_16,"[['li', 'a0,', '0'], ['ret']]"
68,8_function_14,"[['sext.w', 'a3,', 'a0'], ['divu', 'a3,', 'a2,', 'a3'], ['andi', 'a1,', 'a1,', '1'], ['bnez', 'a1,', '.LBB0_2'], ['xor', 'a3,', 'a2,', 'a3'], ['div', 'a3,', 'a3,', 'a2'], ['srl', 'a0,', 'a0,', 'a3'], ['ret']]"
69,3_function_94,"[['and', 'a0,', 'a1,', 'a0'], ['andi', 'a0,', 'a0,', '1'], ['ret']]"
70,4_function_64,"[['andi', 'a1,', 'a1,', '1'], ['bnez', 'a1,', '.LBB0_2'], ['mv', 'a2,', 'a0'], ['rem', 'a1,', 'a0,', 'a2'], ['andi', 'a1,', 'a1,', '1'], ['bnez', 'a1,', '.LBB0_4'], ['mv', 'a0,', 'a2'], ['ret']]"
