,function_name,LEANMLIR_opt_tot_instructions,LLVM_globalisel_tot_instructions,LLVM_selectiondag_tot_instructions,instructions_number
306,7_function_15,7,7,7,7
307,6_function_96,10,8,8,6
308,4_function_19,4,4,4,4
309,6_function_17,10,8,8,6
310,3_function_80,1,1,1,3
311,6_function_81,8,7,7,6
312,4_function_14,6,6,6,4
313,6_function_54,7,3,3,6
314,5_function_25,7,7,4,5
315,3_function_50,6,5,5,3
316,8_function_36,10,8,7,8
317,3_function_4,2,1,1,3
318,3_function_41,3,3,1,3
319,5_function_16,8,7,7,5
320,7_function_70,15,12,11,7
321,4_function_57,8,6,5,4
322,8_function_31,7,7,7,8
323,7_function_74,13,12,2,7
324,5_function_55,5,4,4,5
325,6_function_82,8,7,4,6
326,6_function_14,3,2,2,6
327,3_function_24,3,3,3,3
328,6_function_0,7,6,6,6
329,5_function_29,3,3,2,5
330,6_function_71,7,6,6,6
331,4_function_2,4,4,4,4
332,8_function_49,11,5,5,8
333,8_function_75,9,8,8,8
334,6_function_67,9,8,8,6
335,8_function_18,8,8,7,8
336,8_function_91,16,7,7,8
337,3_function_93,4,4,4,3
338,5_function_62,5,5,5,5
339,5_function_60,8,7,7,5
340,3_function_88,5,3,3,3
341,8_function_10,9,8,2,8
342,3_function_3,4,3,3,3
343,8_function_54,17,13,2,8
344,3_function_10,3,3,1,3
345,3_function_77,4,4,4,3
346,5_function_13,3,2,2,5
347,3_function_22,3,1,1,3
348,3_function_37,3,3,3,3
349,4_function_26,9,8,8,4
350,4_function_65,2,2,2,4
351,8_function_19,11,10,2,8
352,3_function_72,2,1,1,3
353,6_function_32,7,5,2,6
354,5_function_5,5,4,3,5
355,4_function_87,5,5,5,4
356,3_function_87,8,7,5,3
357,7_function_72,4,2,2,7
358,7_function_86,8,6,6,7
359,7_function_6,13,14,6,7
360,6_function_90,11,9,9,6
361,7_function_97,14,8,8,7
362,8_function_43,11,8,8,8
363,8_function_66,9,8,2,8
364,7_function_78,11,11,10,7
365,5_function_3,3,3,3,5
366,4_function_27,4,4,4,4
367,3_function_84,4,3,3,3
368,5_function_81,6,6,5,5
369,7_function_80,13,13,13,7
370,8_function_94,9,9,9,8
371,3_function_63,3,3,3,3
372,7_function_43,9,7,7,7
373,7_function_53,11,7,7,7
374,7_function_5,14,10,10,7
375,4_function_9,4,3,3,4
376,4_function_58,5,5,5,4
377,3_function_54,3,2,2,3
378,7_function_30,14,9,9,7
379,3_function_2,7,7,7,3
380,8_function_17,12,8,7,8
381,6_function_47,10,7,5,6
382,4_function_37,4,4,3,4
383,4_function_32,5,4,4,4
384,8_function_89,9,8,8,8
385,3_function_27,2,2,1,3
386,4_function_60,5,4,4,4
387,4_function_8,4,3,3,4
388,5_function_14,7,6,6,5
389,5_function_56,8,7,2,5
390,8_function_27,14,7,7,8
391,3_function_5,3,3,3,3
392,5_function_87,3,3,3,5
393,8_function_85,7,5,5,8
394,3_function_21,1,1,1,3
395,6_function_36,8,8,8,6
396,4_function_48,4,4,4,4
397,4_function_66,7,6,6,4
398,4_function_31,2,3,2,4
399,7_function_26,6,6,6,7
400,5_function_30,7,7,4,5
401,5_function_79,5,5,2,5
402,7_function_87,9,8,8,7
403,8_function_5,12,11,2,8
404,8_function_61,10,9,8,8
405,3_function_42,3,3,2,3
406,6_function_35,7,6,6,6
407,8_function_2,5,5,5,8
408,7_function_38,9,8,4,7
409,6_function_57,12,10,10,6
410,5_function_75,3,2,2,5
411,8_function_63,9,7,5,8
412,8_function_82,8,6,5,8
413,5_function_35,7,6,1,5
414,5_function_36,6,6,5,5
415,7_function_55,6,6,4,7
416,5_function_45,5,4,2,5
417,5_function_89,2,2,2,5
418,4_function_41,4,4,2,4
419,6_function_58,5,5,5,6
420,6_function_51,12,9,9,6
421,8_function_47,8,8,5,8
422,6_function_86,8,7,7,6
423,3_function_73,3,3,3,3
424,5_function_97,4,3,2,5
425,7_function_22,8,7,7,7
426,6_function_88,7,7,6,6
427,6_function_3,6,5,5,6
428,7_function_45,6,6,6,7
429,4_function_45,7,6,6,4
430,6_function_53,7,6,4,6
431,3_function_79,3,3,3,3
432,8_function_45,15,13,6,8
