,function_name,LEANMLIR_opt_tot_cycles,LLVM_globalisel_tot_cycles,LLVM_selectiondag_tot_cycles,instructions_number
257,7_function_56,7502,7201,453,7
258,5_function_46,26401,26401,104,5
259,3_function_14,6901,6901,6901,3
260,7_function_35,604,504,504,7
261,4_function_52,803,304,304,4
262,3_function_40,404,204,204,3
263,6_function_55,14103,13703,13703,6
264,6_function_37,14601,13703,7403,6
265,6_function_30,1003,604,604,6
266,4_function_71,13201,13201,103,4
267,5_function_52,7404,7303,7203,5
268,5_function_63,7401,7101,7101,5
269,8_function_72,27001,26401,26401,8
270,5_function_99,304,304,304,5
271,7_function_58,7801,7102,7102,7
272,7_function_39,604,404,404,7
273,6_function_68,20101,104,104,6
274,8_function_80,14503,13804,6902,8
275,3_function_66,13501,13501,13501,3
276,5_function_18,26701,26401,19804,5
277,8_function_16,27203,27101,27101,8
278,3_function_98,6902,6902,304,3
279,4_function_99,353,404,304,4
280,3_function_8,404,304,304,3
281,5_function_33,6901,6901,6901,5
282,6_function_87,7804,7804,7204,6
283,8_function_79,27401,27401,104,8
284,4_function_42,7401,7101,7101,4
285,5_function_4,804,403,553,5
286,5_function_17,7204,7103,104,5
287,4_function_5,7304,6903,404,4
288,6_function_64,7003,6502,104,6
289,6_function_72,304,103,103,6
290,8_function_25,14004,13904,13904,8
291,7_function_91,14103,13803,7002,7
292,5_function_39,204,104,204,5
293,8_function_8,14003,14003,14003,8
294,4_function_78,7003,6901,6901,4
295,3_function_74,6901,6901,104,3
296,3_function_17,204,204,204,3
297,4_function_44,803,504,504,4
298,3_function_16,302,104,104,3
299,8_function_32,27801,27101,104,8
300,5_function_66,7103,7103,7103,5
301,8_function_74,604,504,504,8
302,4_function_6,7354,6604,403,4
303,5_function_84,7004,7004,7004,5
304,8_function_95,26803,26703,26703,8
305,4_function_83,7103,7103,7103,4
306,7_function_15,13604,13604,13604,7
307,6_function_96,7404,7003,7003,6
308,4_function_19,7003,7003,7003,4
309,6_function_17,20803,20203,20203,6
310,3_function_80,103,103,103,3
311,6_function_81,14104,14004,14004,6
312,4_function_14,7203,7104,7104,4
313,6_function_54,604,204,204,6
314,5_function_25,7203,7202,304,5
315,3_function_50,703,304,304,3
316,8_function_36,20503,20301,20101,8
317,3_function_4,104,103,103,3
318,3_function_41,6901,6901,103,3
319,5_function_16,26803,26603,26603,5
320,7_function_70,8253,7302,7202,7
321,4_function_57,803,404,304,4
322,8_function_31,13902,13902,13802,8
323,7_function_74,14801,14201,104,7
324,5_function_55,13501,13201,6901,5
325,6_function_82,20501,20101,7001,6
326,6_function_14,204,104,104,6
327,3_function_24,204,204,204,3
328,6_function_0,7204,7104,7104,6
329,5_function_29,6604,6901,6601,5
330,6_function_71,7203,7002,7002,6
331,4_function_2,7001,7001,7001,4
332,8_function_49,1002,254,254,8
333,8_function_75,7404,7304,7304,8
334,6_function_67,7303,7104,7104,6
335,8_function_18,13804,13704,7204,8
336,8_function_91,1504,404,404,8
337,3_function_93,304,304,304,3
338,5_function_62,13601,13601,13601,5
339,5_function_60,7403,7204,7204,5
340,3_function_88,404,204,204,3
341,8_function_10,14102,14001,104,8
342,3_function_3,304,204,204,3
343,8_function_54,15001,14102,104,8
344,3_function_10,6901,6901,103,3
345,3_function_77,6901,6901,6901,3
346,5_function_13,6604,6502,104,5
347,3_function_22,204,103,103,3
348,3_function_37,6901,6901,6901,3
349,4_function_26,7653,7303,7303,4
