,function_name,LEANMLIR_opt_similarity
51,3_function_67,"[['snez', 'a1,', 'a1'], ['sub', 'a2,', 'a2,', 'a0'], ['mul', 'a2,', 'a2,', 'a1'], ['add', 'a2,', 'a2,', 'a0'], ['remu', 'a2,', 'a0,', 'a2'], ['xor', 'a0,', 'a0,', 'a2'], ['ret']]"
52,8_function_4,"[['snez', 't0,', 'a0'], ['sub', 't1,', 'a1,', 'a2'], ['mul', 't1,', 't1,', 't0'], ['add', 't1,', 't1,', 'a2'], ['sext.w', 'a3,', 'a3'], ['snez', 'a2,', 'a0'], ['sub', 't0,', 'a1,', 'a3'], ['mul', 't0,', 't0,', 'a2'], ['add', 't0,', 't0,', 'a3'], ['srl', 'a3,', 'a3,', 't0'], ['srl', 't1,', 't1,', 'a3'], ['snez', 'a0,', 'a0'], ['sub', 'a1,', 'a1,', 't1'], ['mul', 'a1,', 'a1,', 'a0'], ['add', 'a1,', 'a1,', 't1'], ['remu', 'a1,', 't1,', 'a1'], ['slt', 'a1,', 'a1,', 't1'], ['mv', 'a0,', 'a1'], ['ret']]"
53,4_function_69,"[['divu', 'a1,', 'a0,', 'a1'], ['andi', 'a1,', 'a1,', '1'], ['remu', 'a1,', 'a1,', 'a0'], ['mv', 'a0,', 'a1'], ['ret']]"
54,8_function_90,"[['srl', 't0,', 'a0,', 'a0'], ['xor', 'a0,', 'a0,', 't0'], ['zext.w', 'a0,', 'a0'], ['nop'], ['zext.w', 't0,', 'zero'], ['and', 'a0,', 'a0,', 'a1'], ['srl', 't0,', 't0,', 'a0'], ['rem', 't0,', 't0,', 'a0'], ['mv', 'a0,', 't0'], ['ret']]"
55,5_function_98,"[['mv', 'a1,', 'a2'], ['sra', 'a0,', 'a0,', 'a0'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['sltu', 'a1,', 'a1,', 'a0'], ['xori', 'a1,', 'a1,', '1'], ['mv', 'a0,', 'a1'], ['ret']]"
56,3_function_61,"[['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['sra', 'a1,', 'a1,', 'a1'], ['sltu', 'a1,', 'a1,', 'a0'], ['xori', 'a1,', 'a1,', '1'], ['mv', 'a0,', 'a1'], ['ret']]"
57,5_function_50,"[['mv', 'a0,', 'a1'], ['sra', 'a2,', 'a0,', 'a2'], ['divu', 'a2,', 'a2,', 'a2'], ['and', 'a0,', 'a0,', 'a2'], ['ret']]"
58,6_function_41,"[['zext.w', 't0,', 'a0'], ['snez', 'a0,', 'a0'], ['sub', 't1,', 't0,', 'a1'], ['mul', 't1,', 't1,', 'a0'], ['add', 't1,', 't1,', 'a1'], ['divu', 't0,', 't0,', 't1'], ['mv', 'a0,', 't0'], ['ret']]"
59,5_function_57,"[['nop'], ['li', 'a0,', '0'], ['xor', 'a0,', 'zero,', 'a0'], ['ret']]"
60,5_function_69,"[['snez', 't0,', 'a0'], ['sub', 'a1,', 'a1,', 'a0'], ['mul', 'a1,', 'a1,', 't0'], ['add', 'a1,', 'a1,', 'a0'], ['xor', 'a0,', 'a0,', 'a1'], ['xor', 'a2,', 'a2,', 'a0'], ['srl', 'a0,', 'a0,', 'a2'], ['ret']]"
61,6_function_77,"[['sra', 'a1,', 'a1,', 'a2'], ['srl', 'a1,', 'a0,', 'a1'], ['sext.w', 'a3,', 'a3'], ['xor', 'a3,', 'a3,', 'a0'], ['or', 'a1,', 'a1,', 'a3'], ['mv', 'a0,', 'a1'], ['ret']]"
62,4_function_98,"[['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
63,6_function_24,"[['sltu', 't0,', 'a0,', 'a0'], ['xor', 'a2,', 'a2,', 'a1'], ['srl', 'a2,', 'a2,', 'a1'], ['snez', 't0,', 't0'], ['sub', 'a0,', 'a0,', 'a2'], ['mul', 'a0,', 'a0,', 't0'], ['add', 'a0,', 'a0,', 'a2'], ['snez', 'a0,', 'a0'], ['sub', 'a1,', 'a1,', 'a2'], ['mul', 'a1,', 'a1,', 'a0'], ['add', 'a1,', 'a1,', 'a2'], ['mv', 'a0,', 'a1'], ['ret']]"
64,6_function_22,"[['divu', 't0,', 'a0,', 'a0'], ['srl', 'a0,', 'a0,', 't0'], ['srl', 't0,', 't0,', 'a0'], ['zext.w', 't0,', 't0'], ['mv', 'a0,', 't0'], ['ret']]"
65,8_function_57,"[['sext.w', 'a0,', 'a0'], ['remu', 't0,', 'a1,', 'a1'], ['or', 'a1,', 'a1,', 't0'], ['sltu', 'a1,', 'a0,', 'a1'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['div', 'a0,', 'a0,', 'a1'], ['rem', 'a2,', 'a2,', 't0'], ['and', 'a0,', 'a0,', 'a2'], ['ret']]"
66,4_function_43,"[['divu', 't0,', 'a0,', 'a0'], ['snez', 't1,', 't0'], ['sub', 't0,', 't0,', 'a0'], ['mul', 't0,', 't0,', 't1'], ['add', 't0,', 't0,', 'a0'], ['mv', 'a0,', 't0'], ['ret']]"
67,4_function_16,"[['rem', 'a0,', 'a0,', 'a0'], ['xor', 'a1,', 'a1,', 'a2'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
68,8_function_14,"[['sext.w', 't0,', 'a0'], ['divu', 't0,', 'a2,', 't0'], ['xor', 't1,', 'a2,', 't0'], ['div', 't1,', 't1,', 'a2'], ['snez', 'a1,', 'a1'], ['sub', 't0,', 't0,', 't1'], ['mul', 't0,', 't0,', 'a1'], ['add', 't0,', 't0,', 't1'], ['srl', 'a0,', 'a0,', 't0'], ['ret']]"
69,3_function_94,"[['andi', 'a1,', 'a1,', '1'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
70,4_function_64,"[['snez', 'a1,', 'a1'], ['sub', 'a2,', 'a2,', 'a0'], ['mul', 'a2,', 'a2,', 'a1'], ['add', 'a2,', 'a2,', 'a0'], ['rem', 'a1,', 'a0,', 'a2'], ['snez', 'a1,', 'a1'], ['sub', 'a0,', 'a0,', 'a2'], ['mul', 'a0,', 'a0,', 'a1'], ['add', 'a0,', 'a0,', 'a2'], ['ret']]"
71,7_function_8,"[['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['divu', 'a1,', 'a1,', 'a2'], ['xor', 'a0,', 'a0,', 'a1'], ['sext.w', 'a3,', 'a3'], ['divu', 'a0,', 'a0,', 'a3'], ['ret']]"
72,7_function_33,"[['mv', 'a0,', 'a1'], ['sext.w', 'a2,', 'a2'], ['xor', 'a0,', 'a0,', 'a2'], ['snez', 'a0,', 'a0'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['andi', 'a0,', 'a0,', '1'], ['ret']]"
73,4_function_68,"[['rem', 'a2,', 'a1,', 'a2'], ['remu', 'a0,', 'a0,', 'a2'], ['sra', 'a0,', 'a0,', 'a1'], ['ret']]"
74,3_function_51,"[['nop'], ['li', 'a0,', '0'], ['ret']]"
75,6_function_74,"[['zext.w', 'a1,', 'a1'], ['div', 'a2,', 'a0,', 'a2'], ['remu', 'a2,', 'a1,', 'a2'], ['remu', 'a0,', 'a0,', 'a2'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
76,5_function_90,"[['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['sra', 'a1,', 'a1,', 'a0'], ['zext.w', 'a1,', 'a1'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
77,4_function_93,"[['slli', 't0,', 'a0,', '63'], ['srai', 't0,', 't0,', '63'], ['srl', 'a0,', 'a0,', 't0'], ['ret']]"
78,4_function_33,"[['or', 'a1,', 'a1,', 'a0'], ['div', 'a0,', 'a0,', 'a1'], ['div', 'a0,', 'a0,', 'a2'], ['ret']]"
79,8_function_59,"[['sext.w', 'a1,', 'a1'], ['xor', 'a1,', 'a1,', 'a0'], ['or', 't0,', 'a1,', 'a2'], ['or', 't0,', 't0,', 'a0'], ['slli', 't0,', 't0,', '63'], ['srai', 't0,', 't0,', '63'], ['sra', 'a2,', 'a2,', 't0'], ['sltu', 'a1,', 'a1,', 'a2'], ['xori', 'a1,', 'a1,', '1'], ['mv', 'a0,', 'a1'], ['ret']]"
80,7_function_69,"[['sltu', 'a2,', 'a2,', 'a0'], ['xori', 'a2,', 'a2,', '1'], ['slli', 'a2,', 'a2,', '63'], ['srai', 'a2,', 'a2,', '63'], ['sext.w', 'a3,', 'a3'], ['remu', 'a1,', 'a1,', 'a3'], ['slt', 'a1,', 'a1,', 'a2'], ['mv', 'a0,', 'a1'], ['ret']]"
81,3_function_9,"[['divu', 'a1,', 'a0,', 'a1'], ['srl', 'a1,', 'a0,', 'a1'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
82,4_function_13,"[['divu', 'a2,', 'a1,', 'a2'], ['rem', 'a1,', 'a2,', 'a1'], ['xor', 'a2,', 'a2,', 'a1'], ['rem', 'a0,', 'a0,', 'a2'], ['ret']]"
83,5_function_34,"[['divu', 'a1,', 'a1,', 'a0'], ['divu', 't0,', 'a0,', 'a1'], ['xor', 't0,', 't0,', 'a1'], ['srl', 'a0,', 'a0,', 'a1'], ['xor', 't0,', 't0,', 'a0'], ['snez', 't0,', 't0'], ['mv', 'a0,', 't0'], ['ret']]"
84,6_function_75,"[['rem', 'a0,', 'a0,', 'a0'], ['andi', 'a1,', 'a1,', '1'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
85,4_function_90,"[['srl', 'a1,', 'a1,', 'a1'], ['div', 'a0,', 'a0,', 'a1'], ['div', 'a0,', 'a0,', 'a2'], ['ret']]"
