,function_name,LEANMLIR_opt_tot_uops,LLVM_globalisel_tot_uops,LLVM_selectiondag_tot_uops,instructions_number
480,5_function_42,9,7,6,5
481,6_function_7,5,5,5,6
482,5_function_98,8,6,6,5
483,4_function_45,7,6,6,4
484,7_function_56,9,8,7,7
485,8_function_27,14,7,7,8
486,5_function_47,6,1,1,5
487,3_function_18,5,4,4,3
488,6_function_20,5,5,1,6
489,4_function_83,5,5,5,4
490,7_function_95,10,7,7,7
491,5_function_84,6,6,6,5
492,3_function_29,3,2,2,3
493,6_function_40,6,6,1,6
494,4_function_87,5,5,5,4
495,5_function_5,5,4,3,5
496,5_function_10,5,5,3,5
497,6_function_45,6,4,4,6
498,8_function_82,8,6,5,8
499,8_function_37,7,7,7,8
500,8_function_8,9,9,9,8
501,7_function_50,9,7,7,7
502,5_function_6,6,4,3,5
503,8_function_60,13,9,6,8
504,7_function_65,7,5,2,7
505,5_function_80,4,4,4,5
506,6_function_64,4,2,2,6
507,8_function_76,9,9,9,8
508,8_function_41,16,14,11,8
509,5_function_38,9,5,5,5
510,7_function_35,7,6,6,7
511,7_function_24,13,8,10,7
512,4_function_27,4,4,4,4
513,3_function_11,7,4,4,3
514,4_function_86,7,6,6,4
515,7_function_16,8,7,7,7
516,6_function_90,11,9,9,6
517,7_function_78,11,11,10,7
518,5_function_36,6,6,5,5
519,8_function_46,9,9,9,8
520,7_function_13,13,7,2,7
521,7_function_98,8,7,7,7
522,6_function_48,12,10,10,6
523,6_function_53,7,6,4,6
524,6_function_13,5,4,2,6
525,5_function_60,8,7,7,5
526,3_function_72,2,1,1,3
527,8_function_84,12,8,6,8
528,4_function_41,4,4,2,4
529,3_function_63,3,3,3,3
530,6_function_88,7,7,6,6
531,8_function_91,16,7,7,8
532,4_function_82,9,8,5,4
533,3_function_88,5,3,3,3
534,3_function_16,3,3,2,3
535,6_function_94,9,7,6,6
536,3_function_40,5,3,3,3
537,4_function_64,10,8,8,4
538,7_function_80,13,13,13,7
539,6_function_99,7,6,6,6
540,5_function_29,3,3,2,5
541,5_function_22,8,7,3,5
542,6_function_2,6,6,1,6
543,3_function_86,1,2,1,3
544,8_function_90,9,6,2,8
545,8_function_72,9,8,8,8
546,6_function_96,10,8,8,6
547,3_function_2,7,7,7,3
548,3_function_90,8,4,4,3
549,3_function_38,4,3,2,3
550,4_function_71,3,3,1,4
551,4_function_29,4,4,4,4
552,3_function_5,3,3,3,3
553,7_function_51,7,7,7,7
554,5_function_13,3,2,2,5
555,6_function_54,7,4,3,6
556,7_function_40,6,6,6,7
557,7_function_17,7,5,5,7
558,6_function_74,6,6,6,6
559,5_function_46,5,5,2,5
560,7_function_41,22,13,9,7
561,4_function_58,5,5,5,4
562,8_function_48,11,8,1,8
563,7_function_8,7,7,7,7
564,3_function_47,2,2,2,3
565,7_function_47,7,5,5,7
566,8_function_12,14,11,10,8
567,5_function_8,7,5,4,5
568,8_function_66,9,8,2,8
569,6_function_79,7,6,2,6
570,5_function_52,8,7,6,5
571,5_function_48,8,6,7,5
572,7_function_70,15,12,11,7
573,8_function_78,7,5,5,8
574,5_function_43,2,2,2,5
575,4_function_73,8,6,6,4
576,7_function_23,6,6,3,7
577,6_function_87,12,12,6,6
578,6_function_63,8,5,2,6
579,7_function_44,7,5,2,7
580,7_function_58,12,7,7,7
581,4_function_80,5,5,5,4
582,3_function_45,2,2,2,3
583,3_function_53,5,5,3,3
584,7_function_55,6,6,4,7
585,3_function_75,3,3,3,3
586,5_function_79,5,5,2,5
587,8_function_52,7,6,5,8
588,7_function_15,7,7,7,7
589,3_function_57,4,4,2,3
590,8_function_23,14,8,7,8
591,5_function_11,4,3,3,5
592,5_function_17,6,5,2,5
593,6_function_62,8,7,7,6
594,7_function_39,8,6,6,7
595,4_function_75,4,4,4,4
596,6_function_85,12,10,8,6
597,8_function_77,7,6,5,8
598,7_function_84,8,6,6,7
599,4_function_62,7,5,5,4
