,bitwuzla,leanSAT,leanSAT-rw,leanSAT-sat
613,110.7488,109.87668,47.32561,56.88723
614,92.887899,92.279279,31.01823,56.900399
615,82.805179,83.11761,23.28383,57.51432
616,115.415959,182.21788,62.99334,109.71439
617,98.78574,98.20975,37.12549,55.57182
618,134.244729,114.06882,53.055949,55.20309
619,101.039691,121.560699,60.485569,55.57202
620,118.691859,114.8646,53.83038,55.39759
621,94.73379,95.426339,34.87699,55.252409
622,109.0045,109.218039,48.17926,55.513109
623,96.562519,96.37444,35.81064,55.23283
624,108.568029,109.6903,48.54869,55.43425
625,91.025919,78.40239,21.21292,56.0827
626,190.51322,81.42653,20.52399,58.06303
627,96.369099,87.69767,26.33507,56.68219
628,93.73074,87.383679,29.913329,55.365349
629,83.458369,86.01122,28.34831,56.53449
630,85.86351,88.46925,29.04555,58.9037
631,88.621659,91.99293,32.56701,56.3309
632,102.861669,110.41687,47.98664,56.80354
633,118.980889,130.54315,64.29794,56.89257
634,135.715709,147.716649,80.42212,56.92449
635,89.503929,101.02638,32.40478,56.86438
636,103.701359,119.56703,48.84361,57.16679
637,120.440789,148.324439,65.63426,57.817569
638,137.86586,166.784969,81.815649,58.06818
639,174.410929,217.414699,115.543419,58.7131
640,189.55012,236.089019,132.42246,58.773689
641,88.66551,90.846069,31.788789,56.01912
642,85.322699,428.758589,39.00868,389.108269
643,90.40241,89.338679,28.679769,58.61503
644,85.95879,93.149749,30.46918,60.111719
645,94.18712,328.830058,27.01131,209.915019
646,129.161269,420.018149,20.69156,359.368929
647,76.94858,75.70697,18.16856,57.07597
648,81.497619,81.50565,23.75179,55.59377
649,89.298199,136.58094,34.15903,57.3883
650,87.18265,87.13946,29.16941,55.59918
651,77.772429,127.43453,16.85532,106.41297
652,77.52745,126.643689,16.53677,106.036589
653,124.9942,609.129298,25.89324,361.485139
654,136.816039,1157.872765,67.83441,443.373908
655,161.573829,1312.252504,98.460679,446.850128
656,97.66082,743.276187,31.69096,287.002899
657,109.825239,827.352796,47.9278,286.629228
658,93.10988,224.03236,27.52206,122.741989
659,146.698409,392.791298,77.07675,172.78973
660,145.476149,396.542579,80.88986,173.24608
661,94.36547,224.948949,27.33767,123.376019
662,92.196809,220.365059,26.24414,121.667689
663,131.504169,232.980839,150.185909,55.36139
664,121.787799,131.439279,71.06103,59.310019
665,147.91974,152.13965,92.17132,58.10611
666,114.952369,101.973599,45.23526,56.142949
667,88.35289,87.997039,31.913769,55.34874
668,85.33857,86.20896,29.017,56.51344
669,120.532549,134.544399,71.22101,54.749149
670,144.65085,153.101539,89.305879,55.91615
671,147.14503,136.009989,72.60171,56.596759
672,114.37575,138.012999,68.828889,61.39726
673,114.9357,118.69525,53.96416,55.4368
674,106.096609,169.804059,57.2039,106.395839
675,118.54994,179.635049,61.25585,105.905099
676,111.6645,194.090929,72.576999,110.30609
677,130.29847,126.209599,61.86041,57.944419
678,116.597709,148.13649,78.80965,60.00739
679,114.45938,135.319279,71.002559,56.19966
680,200.082239,187.137479,125.47908,57.884499
681,220.2126,229.421239,164.895879,60.51431
682,219.60227,243.770819,184.880139,56.47849
683,256.299118,267.288429,204.940319,56.65692
684,83.15462,84.351689,22.40763,61.173279
