,tool,bvw,times
221,leanSAT-rw,4,19.232478
222,leanSAT-rw,4,10.283794
223,leanSAT-rw,4,7.380818
224,leanSAT-rw,4,9.979069
225,leanSAT-rw,4,29.272071
226,leanSAT-rw,4,19.932077
227,leanSAT-rw,4,16.248923
228,leanSAT-rw,4,28.419042
229,leanSAT-rw,4,27.03391
230,leanSAT-rw,4,42.511068
231,leanSAT-rw,4,34.259777
232,leanSAT-rw,4,37.392645
233,leanSAT-rw,4,28.964401
234,leanSAT-rw,4,26.24344
235,leanSAT-rw,4,30.162661
236,leanSAT-rw,4,40.179021
237,leanSAT-rw,4,21.549248
238,leanSAT-rw,4,28.313083
239,leanSAT-rw,4,22.714836
240,leanSAT-rw,4,16.062831
241,leanSAT-rw,4,28.093969
242,leanSAT-rw,8,8.233036
243,leanSAT-rw,8,20.145138
244,leanSAT-rw,8,10.084237
245,leanSAT-rw,8,7.468084
246,leanSAT-rw,8,10.741807
247,leanSAT-rw,8,32.271538
248,leanSAT-rw,8,20.814792
249,leanSAT-rw,8,17.067205
250,leanSAT-rw,8,26.866004
251,leanSAT-rw,8,31.686926
252,leanSAT-rw,8,34.279594
253,leanSAT-rw,8,39.532259
254,leanSAT-rw,8,33.786475
255,leanSAT-rw,8,24.478452
256,leanSAT-rw,8,26.455511
257,leanSAT-rw,8,24.602554
258,leanSAT-rw,8,33.197725
259,leanSAT-rw,8,22.149549
260,leanSAT-rw,8,37.799944
261,leanSAT-rw,8,23.449923
262,leanSAT-rw,8,16.336618
263,leanSAT-rw,8,28.186405
264,leanSAT-rw,16,8.266749
265,leanSAT-rw,16,19.401957
266,leanSAT-rw,16,10.002994
267,leanSAT-rw,16,7.500344
268,leanSAT-rw,16,9.736221
269,leanSAT-rw,16,29.85957
270,leanSAT-rw,16,20.991746
271,leanSAT-rw,16,18.517721
272,leanSAT-rw,16,27.080307
273,leanSAT-rw,16,28.396229
274,leanSAT-rw,16,35.495358
275,leanSAT-rw,16,37.127374
276,leanSAT-rw,16,38.895669
277,leanSAT-rw,16,24.601725
278,leanSAT-rw,16,26.650728
279,leanSAT-rw,16,28.800773
280,leanSAT-rw,16,36.137468
281,leanSAT-rw,16,23.274059
282,leanSAT-rw,16,30.118517
283,leanSAT-rw,16,21.941356
284,leanSAT-rw,16,15.168554
285,leanSAT-rw,16,21.614031
286,leanSAT-rw,32,8.291536
287,leanSAT-rw,32,25.082711
288,leanSAT-rw,32,10.28257
289,leanSAT-rw,32,7.351975
290,leanSAT-rw,32,9.964029
291,leanSAT-rw,32,25.304118
292,leanSAT-rw,32,23.834597
293,leanSAT-rw,32,32.932644
294,leanSAT-rw,32,41.873996
295,leanSAT-rw,32,36.663841
296,leanSAT-rw,32,50.226578
297,leanSAT-rw,32,35.098488
298,leanSAT-rw,32,50.018405
299,leanSAT-rw,32,31.037891
300,leanSAT-rw,32,24.759812
301,leanSAT-rw,32,29.334468
302,leanSAT-rw,32,35.514754
303,leanSAT-rw,32,26.942376
304,leanSAT-rw,32,32.080828
305,leanSAT-rw,32,20.912606
306,leanSAT-rw,32,20.001648
307,leanSAT-rw,32,30.446325
308,leanSAT-rw,64,8.194394
309,leanSAT-rw,64,27.330559
310,leanSAT-rw,64,10.981829
311,leanSAT-rw,64,8.046204
312,leanSAT-rw,64,10.703304
313,leanSAT-rw,64,30.690947
314,leanSAT-rw,64,32.783604
315,leanSAT-rw,64,25.940247
316,leanSAT-rw,64,36.014706
317,leanSAT-rw,64,35.160004
318,leanSAT-rw,64,43.951685
319,leanSAT-rw,64,33.880692
320,leanSAT-rw,64,39.196024
321,leanSAT-rw,64,29.451098
322,leanSAT-rw,64,37.916153
323,leanSAT-rw,64,31.26532
324,leanSAT-rw,64,39.399119
325,leanSAT-rw,64,21.841078
326,leanSAT-rw,64,28.383585
327,leanSAT-rw,64,21.866395
328,leanSAT-rw,64,22.78087
329,leanSAT-rw,64,22.964767
330,leanSAT-bb,4,0.0
331,leanSAT-bb,4,0.0
332,leanSAT-bb,4,0.0
333,leanSAT-bb,4,0.0
334,leanSAT-bb,4,0.0
335,leanSAT-bb,4,0.0
336,leanSAT-bb,4,0.0
337,leanSAT-bb,4,0.0
338,leanSAT-bb,4,0.0
339,leanSAT-bb,4,0.0
340,leanSAT-bb,4,0.0
341,leanSAT-bb,4,0.0
342,leanSAT-bb,4,0.0
343,leanSAT-bb,4,0.0
344,leanSAT-bb,4,0.0
345,leanSAT-bb,4,0.0
346,leanSAT-bb,4,0.0
347,leanSAT-bb,4,0.0
348,leanSAT-bb,4,0.0
349,leanSAT-bb,4,0.0
350,leanSAT-bb,4,0.0
351,leanSAT-bb,4,0.0
352,leanSAT-bb,8,0.0
353,leanSAT-bb,8,0.0
354,leanSAT-bb,8,0.0
355,leanSAT-bb,8,0.0
356,leanSAT-bb,8,0.0
357,leanSAT-bb,8,0.0
358,leanSAT-bb,8,0.0
359,leanSAT-bb,8,0.0
360,leanSAT-bb,8,0.0
361,leanSAT-bb,8,0.0
362,leanSAT-bb,8,0.0
363,leanSAT-bb,8,0.0
364,leanSAT-bb,8,0.0
365,leanSAT-bb,8,0.0
366,leanSAT-bb,8,0.0
367,leanSAT-bb,8,0.0
368,leanSAT-bb,8,0.0
369,leanSAT-bb,8,0.0
370,leanSAT-bb,8,0.0
371,leanSAT-bb,8,0.0
372,leanSAT-bb,8,0.0
373,leanSAT-bb,8,0.0
374,leanSAT-bb,16,0.0
375,leanSAT-bb,16,0.0
376,leanSAT-bb,16,0.0
377,leanSAT-bb,16,0.0
378,leanSAT-bb,16,0.0
379,leanSAT-bb,16,0.0
380,leanSAT-bb,16,0.0
381,leanSAT-bb,16,0.0
382,leanSAT-bb,16,0.0
383,leanSAT-bb,16,0.0
384,leanSAT-bb,16,1.055541
385,leanSAT-bb,16,0.0
386,leanSAT-bb,16,0.0
387,leanSAT-bb,16,0.0
